video_id,rmse,mean_iou,nees,n_frames
562,16.84467038661291,0.5320452803090732,15.091891575006477,1310
521,28.177651882398337,0.4834761522284866,43.06795575958921,863
048,50.94464919000721,0.5783581706019287,145.12387947741817,1990
412,32.16209489743436,0.6198798725533623,56.93686020338988,1923
401,24.417157771946066,0.601168728563002,35.231596945946336,757
526,89.88407274062966,0.2896496695809653,725.8063449618381,2621
410,36.60854692032462,0.37417284628110836,76.71665020241002,1085
225,71.6185617379597,0.3581689575991493,294.511909734827,896
404,19.61135701402271,0.6342702365342742,20.680563894365175,1000
041,35.23838318960679,0.5072706807228016,66.75170474033384,1800
533,25.3582932781232,0.45867574697018826,37.75815097261165,866
053,40.85117897385155,0.6026635178232329,86.42810921107265,1248
514,16.619834288029512,0.6541625696046529,15.585961671739037,1455
126,52.81150904459098,0.5520566330876182,149.3160372858504,1288
516,14.965554032980886,0.5071788832115349,14.0053736606722,1225
160,57.46842235316067,0.5132655555148329,177.8977830431222,2997
019,112.41399838951581,0.32964120636155214,789.1330340805197,1769
506,35.4858731262864,0.34337025979810065,68.95328649171019,1775
MEAN,42.30454495652674,0.49663749818588143,156.61094966180121,26868
